Time,ped_n,ped_e,ego_n,ego_e,Velocity,ObjectAbsVel,flag,left_e,left_n,right_e,right_n
1626246356254.0,-28.291000366210927,11.553656578063965,-39.38588333129883,25.522632598876953,2.833333333333333,0.8121495050899342,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246356353.0,-28.40276336669922,11.562067031860352,-40.308006286621094,26.10428810119629,2.8572530864197527,0.8249208940442389,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246356452.0,-28.51452827453613,11.570476531982422,-41.18977355957031,26.65312385559082,2.8711419753086416,0.8394860223192775,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246356552.0,-28.62629127502441,11.578886032104492,-42.08053970336914,27.21352195739746,2.8904320987654315,0.8556473895211801,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626246356651.0,-28.73805427551269,11.58729648590088,-60.03231721175344,38.444995930320346,3.014213775178688,0.873216468327463,8.0,179.88691220870984,-283.89286516819936,177.16643097413913,-282.15018810788445
1626243958520.0,49.81695556640625,-141.29269409179688,13.723474502563475,-122.56748962402344,2.5,1.1540766691015956,3.0,-123.05323028564452,14.489521980285645,-121.73194992942129,13.64917846086224
1626243958619.0,49.87985229492188,-141.3262481689453,14.489521980285645,-123.05323028564452,2.4845679012345685,1.1703668548716497,3.0,-123.05323028564452,14.489521980285645,-121.73194992942129,13.64917846086224
1626243958718.0,49.8381462097168,-141.322509765625,15.249446868896484,-123.53912353515624,2.470679012345679,1.1743364287928848,3.0,-123.53912353515624,15.249446868896484,-122.22605613437588,14.414506670022481
1626243958837.0,50.03893661499024,-141.4346923828125,16.070491790771484,-124.06809997558594,2.454475308641975,1.153781563311542,3.0,-124.06809997558594,16.070491790771484,-122.75942924659674,15.239115206770267
1626243958937.0,50.146202087402344,-141.5120391845703,16.751379013061527,-124.50416564941406,2.4382716049382718,1.1600353250949047,3.0,-124.50416564941406,16.751379013061527,-123.20139277971545,15.923928408976414
1626243959035.0,50.3570442199707,-141.58529663085938,17.493667602539062,-124.97264862060548,2.41820987654321,1.1503229643710384,3.0,-124.97264862060548,17.493667602539062,-123.68104857732895,16.67331380343369
1626243959123.0,50.3912239074707,-141.58859252929688,18.193145751953125,-125.42443084716795,2.4020061728395063,1.1530586434856531,3.0,-125.42443084716795,18.193145751953125,-124.13565464478245,17.374842488143535
1626243959222.0,50.50093078613281,-141.69369506835938,18.961645126342773,-125.9176788330078,2.377314814814815,1.162506719249807,3.0,-125.9176788330078,18.961645126342773,-124.63413884683149,18.14754398606011
1626243959321.0,50.55440902709961,-141.6974334716797,19.685489654541016,-126.37285614013672,2.352623456790123,1.1745499037248466,3.0,-126.37285614013672,19.685489654541016,-125.09976045125006,18.877411386655645
